Beginning

Top 14 Simple LTV Customers:
   Simple LTV   customer_id        amt
 12870.000000  00535c7d8f42  24.750000
 10639.571429  00435c7d8f42  20.460714
 10277.800000  01135c7d8f42  19.765000
 10034.440000  00635c7d8f42  19.297000
  9392.240000  01035c7d8f42  18.062000
  8653.840000  01235c7d8f42  16.642000
  8340.800000  00835c7d8f42  16.040000
  8290.608696  00735c7d8f42  15.943478
  8201.200000  96f55c7d8f42  15.771538
  8027.500000  00935c7d8f42  15.437500
  7324.488889  00135c7d8f42  14.085556
  7309.342857  00235c7d8f42  14.056429
  6654.581818  00335c7d8f42  12.797273
  2900.000000  200000000001   5.576923

Finished
